usuarioid;bicicletaid;origenfecha;origenestacionid;origennombre;destinofecha;destinoestacionid;destinonombre;tiempouso
36680;1524;2013-01-02 07:49:52.937;20;ONCE;2013-01-02 08:11:36.67;32;PARQUE PATRICIOS ;22
68894;1205;2013-01-02 07:52:11.53;20;ONCE;2013-01-02 08:23:01.123;7;PLAZA ROMA;31
69014;986;2013-01-02 07:53:56.14;25;PLAZA ALMAGRO;2013-01-02 08:25:04.297;19;PLAZA VICENTE LOPEZ;31
72429;1021;2013-01-02 07:54:55.187;21;PACIFICO;2013-01-02 08:54:29.293;5;ADUANA;60
35910;1274;2013-01-02 07:55:22.483;25;PLAZA ALMAGRO;2013-01-02 08:13:43.577;10;OBELISCO;18
60364;1433;2013-01-02 07:55:40.53;21;PACIFICO;2013-01-02 08:14:10.687;6;DERECHO;19
55665;1035;2013-01-02 07:55:46.78;21;PACIFICO;2013-01-02 07:57:12.06;21;PACIFICO;1
72167;1522;2013-01-02 07:56:08.36;3;RETIRO;2013-01-02 08:03:51.39;36;EMMA DE LA BARRA;8
70759;1442;2013-01-02 07:56:56.95;32;PARQUE PATRICIOS ;2013-01-02 08:40:15.297;21;PACIFICO;43
10245;1581;2013-01-02 07:57:02.34;3;RETIRO;2013-01-02 08:03:51.903;7;PLAZA ROMA;7
9141;1362;2013-01-02 07:57:05.293;24;PLAZA DE MAYO;2013-01-02 08:09:14.607;17;UCA PUERTO MADERO;12
767;1476;2013-01-02 07:57:06.937;7;PLAZA ROMA;2013-01-02 07:58:17.013;36;EMMA DE LA BARRA;1
30828;929;2013-01-02 07:57:34.827;27;INDEPENDENCIA;2013-01-02 08:05:06.153;24;PLAZA DE MAYO;8
24139;162;2013-01-02 07:58:04.95;3;RETIRO;2013-01-02 08:03:04.78;28;PLAZA SAN MARTIN;5
2902;1453;2013-01-02 07:58:29.577;21;PACIFICO;2013-01-02 08:38:40;32;PARQUE PATRICIOS ;40
49772;1151;2013-01-02 07:58:32.293;16;PARQUE LAS HERAS;2013-01-02 08:00:27.793;16;PARQUE LAS HERAS;2
55665;1502;2013-01-02 07:58:37.997;21;PACIFICO;2013-01-02 08:54:09.7;5;ADUANA;56
5106;1262;2013-01-02 07:58:40.903;27;INDEPENDENCIA;2013-01-02 08:45:52.28;18;TRIBUNALES;47
5746;1245;2013-01-02 07:58:56.373;16;PARQUE LAS HERAS;2013-01-02 08:24:52.11;7;PLAZA ROMA;26
39961;510;2013-01-02 08:00:06.577;25;PLAZA ALMAGRO;2013-01-02 08:30:00.903;27;INDEPENDENCIA;30
66041;1151;2013-01-02 08:00:39.247;16;PARQUE LAS HERAS;2013-01-02 08:10:01;19;PLAZA VICENTE LOPEZ;9
49772;210;2013-01-02 08:01:13.983;16;PARQUE LAS HERAS;2013-01-02 08:06:52.92;16;PARQUE LAS HERAS;6
61795;860;2013-01-02 08:01:33.827;19;PLAZA VICENTE LOPEZ;2013-01-02 08:11:24.31;3;RETIRO;10
55185;1075;2013-01-02 08:01:44.717;20;ONCE;2013-01-02 08:16:03.78;24;PLAZA DE MAYO;14
45323;1231;2013-01-02 08:01:45.14;9;PARQUE LEZAMA;2013-01-02 09:08:45.013;10;OBELISCO;67
16910;38;2013-01-02 08:01:50.483;24;PLAZA DE MAYO;2013-01-02 08:03:33.81;24;PLAZA DE MAYO;2
55875;418;2013-01-02 08:01:56.577;33;ARENALES;2013-01-02 08:14:01.92;15;CONGRESO;12
22152;1629;2013-01-02 08:02:21.497;9;PARQUE LEZAMA;2013-01-02 08:57:59.14;9;PARQUE LEZAMA;56
69406;845;2013-01-02 08:02:24.403;20;ONCE;2013-01-02 08:43:43.653;15;CONGRESO;41
7407;385;2013-01-02 08:02:37.403;28;PLAZA SAN MARTIN;2013-01-02 08:20:42.39;35;ALSINA ;18
53618;638;2013-01-02 08:03:04.983;20;ONCE;2013-01-02 08:21:09.42;16;PARQUE LAS HERAS;18
72097;1438;2013-01-02 08:03:31.56;33;ARENALES;2013-01-02 08:12:29.39;7;PLAZA ROMA;9
35242;1181;2013-01-02 08:04:14.623;20;ONCE;2013-01-02 08:26:11.717;18;TRIBUNALES;22
24139;195;2013-01-02 08:04:21.28;28;PLAZA SAN MARTIN;2013-01-02 08:13:40.7;24;PLAZA DE MAYO;9
69525;1522;2013-01-02 08:04:24.357;36;EMMA DE LA BARRA;2013-01-02 08:12:10.653;7;PLAZA ROMA;8
67020;1119;2013-01-02 08:04:25.123;19;PLAZA VICENTE LOPEZ;2013-01-02 08:43:50.827;19;PLAZA VICENTE LOPEZ;39
16910;1622;2013-01-02 08:04:30.513;24;PLAZA DE MAYO;2013-01-02 08:47:02.373;5;ADUANA;43
30008;1009;2013-01-02 08:04:40.483;20;ONCE;2013-01-02 08:22:30.17;5;ADUANA;18
67557;859;2013-01-02 08:04:48.763;25;PLAZA ALMAGRO;2013-01-02 08:37:29.17;5;ADUANA;33
72243;1292;2013-01-02 08:04:54.86;25;PLAZA ALMAGRO;2013-01-02 08:17:24.483;16;PARQUE LAS HERAS;12
30689;1045;2013-01-02 08:05:07.497;15;CONGRESO;2013-01-02 08:18:02.513;17;UCA PUERTO MADERO;13
